user_id,task_id,time,page_type,episode_start,domain,url,transition,domain_status,query_status,action,duration,duration_cut,process,domain_type,domain_area
862,7,2024-03-15 08:32:33.559000+00:00,SYSTEM,True,TASK_STARTED,TASK_STARTED,generated,UNKNOWN,UNKNOWN,TASK_STARTED,3.587,0.0,UNKNOWN,SYSTEM,SYSTEM
862,7,2024-03-15 08:32:37.146000+00:00,SYSTEM,False,PRE_SURVEY_STARTED,PRE_SURVEY_STARTED,generated,UNKNOWN,UNKNOWN,PRE_SURVEY_STARTED,11.384,0.0,UNKNOWN,SYSTEM,SYSTEM
862,7,2024-03-15 08:32:48.530000+00:00,SYSTEM,False,PRE_SURVEY_ENDED,PRE_SURVEY_ENDED,generated,UNKNOWN,UNKNOWN,PRE_SURVEY_ENDED,0.002,0.0,UNKNOWN,SYSTEM,SYSTEM
862,7,2024-03-15 08:32:48.532000+00:00,SYSTEM,False,SEARCH_STARTED,SEARCH_STARTED,generated,UNKNOWN,UNKNOWN,SEARCH_STARTED,3.0,0.0,UNKNOWN,SYSTEM,SYSTEM
862,7,2024-03-15 08:32:51.532000+00:00,SYSTEM,False,SEARCH_RESUMED,SEARCH_RESUMED,generated,UNKNOWN,UNKNOWN,SEARCH_RESUMED,100.751,0.0,UNKNOWN,SYSTEM,SYSTEM
862,7,2024-03-15 08:34:32.283000+00:00,SEARCH_ENGINE,True,www.google.com,https://www.google.com/search?q=eremita+in+giardino&rlz=1C1CHZN_itCH1077CH1077&oq=eremita+in+giardino&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigAdIBCTM3NjMwajBqNKgCALACAA&sourceid=chrome&ie=UTF-8,link,NEW,NEW,NEW_SEARCH,4.89,0.0,SKIM,UNKNOWN,UNKNOWN
862,7,2024-03-15 08:34:37.173000+00:00,RESULT,False,www.storicang.it,https://www.storicang.it/a/eremita-in-giardino-leccentrica-moda-inglese_16426,link,NEW,UNKNOWN,NEW_RESULT,142.95,0.0,ANALYZE,UNKNOWN,UNKNOWN
862,7,2024-03-15 08:37:00.123000+00:00,SYSTEM,True,SEARCH_ENDED,SEARCH_ENDED,generated,UNKNOWN,UNKNOWN,SEARCH_ENDED,3.0,0.0,UNKNOWN,SYSTEM,SYSTEM
862,7,2024-03-15 08:37:03.123000+00:00,SYSTEM,False,POST_SURVEY_STARTED,POST_SURVEY_STARTED,generated,UNKNOWN,UNKNOWN,POST_SURVEY_STARTED,68.049,0.0,UNKNOWN,SYSTEM,SYSTEM
862,7,2024-03-15 08:38:11.172000+00:00,SEARCH_ENGINE,True,www.google.com,https://www.google.com/search?q=eremita+in+giardino&rlz=1C1CHZN_itCH1077CH1077&oq=eremita+in+giardino&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigAdIBCTM3NjMwajBqNKgCALACAA&sourceid=chrome&ie=UTF-8,back,SAME,SAME,SAME_SEARCH,3.674,0.0,SKIM,UNKNOWN,UNKNOWN
862,7,2024-03-15 08:38:14.846000+00:00,RESULT,False,www.fattistrani.it,https://www.fattistrani.it/post/eremiti-ornamentali,back,NEW,UNKNOWN,NEW_RESULT,218.57,0.0,ANALYZE,UNKNOWN,UNKNOWN
862,7,2024-03-15 08:41:53.416000+00:00,SYSTEM,True,POST_SURVEY_ENDED,POST_SURVEY_ENDED,generated,UNKNOWN,UNKNOWN,POST_SURVEY_ENDED,0.001,0.0,UNKNOWN,SYSTEM,SYSTEM
862,7,2024-03-15 08:41:53.417000+00:00,SYSTEM,False,TASK_ENDED,TASK_ENDED,generated,UNKNOWN,UNKNOWN,TASK_ENDED,0.0,0.0,UNKNOWN,SYSTEM,SYSTEM
